['12:03:16.683', '[6. 4.]']
['12:03:16.701', '[6. 4.]']
['12:03:16.721', '[6. 4.]']
['12:03:16.764', '[6. 4.]']
['12:03:16.793', '[6. 4.]']
['12:03:16.809', '[6. 5.]']
['12:03:16.836', '[6. 4.]']
['12:03:16.850', '[6. 4.]']
['12:03:16.864', '[6. 4.]']
['12:03:16.874', '[6. 4.]']
['12:03:16.891', '[6. 4.]']
['12:03:16.905', '[6. 4.]']
['12:03:16.921', '[6. 5.]']
['12:03:16.936', '[6. 4.]']
['12:03:16.947', '[6. 5.]']
['12:03:16.961', '[6. 5.]']
['12:03:16.971', '[6. 4.]']
['12:03:16.984', '[6. 5.]']
['12:03:17.000', '[6. 4.]']
['12:03:17.014', '[6. 4.]']
['12:03:17.038', '[6. 4.]']
['12:03:17.066', '[6. 4.]']
['12:03:17.096', '[6. 4.]']
['12:03:17.113', '[6. 4.]']
['12:03:17.141', '[6. 4.]']
['12:03:17.161', '[6. 4.]']
['12:03:17.176', '[6. 4.]']
['12:03:17.197', '[6. 4.]']
['12:03:17.211', '[6. 4.]']
['12:03:17.228', '[7. 4.]']
['12:03:17.238', '[6. 4.]']
['12:03:17.250', '[6. 4.]']
['12:03:17.266', '[6. 4.]']
['12:03:17.277', '[6. 4.]']
['12:03:17.294', '[6. 4.]']
['12:03:17.307', '[6. 4.]']
['12:03:17.324', '[6. 4.]']
['12:03:17.342', '[7. 5.]']
['12:03:17.371', '[6. 5.]']
['12:03:17.385', '[6. 4.]']
['12:03:17.399', '[6. 4.]']
['12:03:17.411', '[6. 4.]']
['12:03:17.434', '[6. 4.]']
['12:03:17.461', '[6. 4.]']
['12:03:17.483', '[6. 5.]']
['12:03:17.509', '[6. 4.]']
['12:03:17.533', '[6. 5.]']
['12:03:17.561', '[6. 5.]']
['12:03:17.581', '[6. 4.]']
['12:03:17.608', '[6. 4.]']
['12:03:17.638', '[6. 4.]']
