['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['10:29:09.969', '0.0', '[0, 0]', '[-90, -41]', '[0.0]']
['10:29:09.970', '0.0', '[0, 0]', '[-90, -44]', '[0.0]']
['10:29:09.972', '0.0', '[0, 0]', '[-90, -48]', '[0.0]']
['10:29:09.972', '0.0', '[0, 0]', '[-90, -50]', '[0.0]']
['10:29:09.986', '0.0', '[0, 0]', '[-90, -79]', '[0.0]']
['10:29:09.987', '0.0', '[0, 0]', '[-90, -81]', '[0.0]']
['10:29:09.989', '0.0', '[0, 0]', '[-90, -88]', '[0.0]']
['10:29:09.990', '0.0', '[0, 0]', '[-90, -90]', '[0.0]']
['10:29:10.738', '0.0', '[0, 0]', '[-90, -90]', '[1.0]']
['10:29:10.761', '0.0', '[0, 0]', '[-90, -90]', '[0.0]']
['10:29:10.761', '0.0', '[0, 0]', '[-90, -90]', '[-3.0]']
['10:29:10.763', '0.0', '[0, 0]', '[-90, -90]', '[-4.0]']
['10:29:10.764', '0.0', '[0, 0]', '[-90, -90]', '[-6.0]']
['10:29:10.766', '0.0', '[0, 0]', '[-90, -90]', '[-7.0]']
['10:29:10.768', '0.0', '[0, 0]', '[-90, -90]', '[-8.0]']
['10:29:10.770', '0.0', '[0, 0]', '[-90, -90]', '[-10.0]']
