Angles_0,Angles_1,freq,amp_1,amp_2,offset_1,offset_2,phase,Potentials_0,Potentials_1,Speed
-23.47,27.26,0.9,0,78,-73,37,20.0,-17.,6.,6.049304972629929
67.56,-108.86,0.7,48,78,87,-35,-52.0,60.,-88.,6.042597636173955
-29.69,-26.79,0.8,64,47,-7,-25,10.0,-21.,-5.,6.039312899374108
79.44,72.84,0.9,32,2,69,82,66.0,92.,76.,6.030614181130708
54.06,27.11,0.2,79,79,61,19,-53.0,52.,17.,6.0265482329356805
-11.62,20.14,0.7,48,48,-76,50,6.0,28.,49.,6.024782278886548
-69.19,32.61,0.7,32,45,-55,54,-7.0,-57.,47.,6.018306394683472
5.31,8.82,0.6,48,46,-37,-40,-8.0,8.,8.,6.01330031695283
-59.68,-37.06,0.5,64,64,-27,-10,21.0,-42.,-45.,6.009128700380359
-75.44,-86.17,0.0,64,33,-40,51,-80.0,-47.,-44.,6.00504266745665
-36.41,75.77,0.8,64,0,23,80,-20.0,-20.,78.,6.000364065419239
24.74,15.86,0.2,48,46,56,14,6.0,65.,55.,5.993742587703946
43.07,93.55,0.6,47,64,-9,-7,85.0,41.,90.,5.985083646016314
-15.07,-136.1,0.8,47,79,-22,-86,51.0,2.,-52.,5.982944857147095
-13.45,-25.35,0.3,0,78,25,-8,7.0,-12.,-20.,5.9825620644479
-83.35,-95.88,0.8,47,79,-22,-86,51.0,-82.,-89.,5.974733831544533
10.76,29.76,0.9,48,0,-24,23,-24.0,12.,31.,5.971051280304263
-141.99,24.35,0.5,80,33,-69,24,-71.0,-86.,68.,5.9689656228986
-15.57,-15.35,0.7,31,79,8,-25,-56.0,-4.,6.,5.964454622772793
22.72,107.73,0.7,64,79,-40,68,39.0,28.,95.,5.962117817360036
66.91,23.11,0.8,32,63,72,-39,-68.0,87.,57.,5.960536094064937
-12.06,-20.7,0.6,48,46,-37,-40,-8.0,-16.,-27.,5.9584938280097
23.65,-63.38,0.7,64,34,-24,-64,-70.0,19.,-72.,5.957692620981743
144.77,64.79,0.6,64,48,86,70,23.0,97.,70.,5.946108537137881
60.98,52.61,0.6,48,63,21,12,-21.0,61.,42.,5.945262224590715
-81.78,-38.57,0.1,32,63,-74,9,54.0,-77.,-40.,5.945148852636668
103.5,61.59,0.6,64,61,57,-7,-26.0,96.,56.,5.944740661815779
38.54,-61.62,0.5,80,15,-56,10,-73.0,33.,-58.,5.944145990263051
44.14,-106.87,0.1,64,80,56,-85,36.0,53.,-89.,5.942340244485255
115.44,-58.77,0.8,47,63,88,-83,-55.0,96.,-50.,5.927660357038838
-10.54,-55.07,0.9,32,46,88,-84,-56.0,-15.,-61.,5.927564362946349
19.3,-124.07,0.5,64,78,86,-64,-52.0,23.,-89.,5.925459095250276
-74.03,20.89,0.9,48,0,-24,23,-24.0,-72.,23.,5.916401944268557
83.49,-11.32,0.7,79,45,52,19,69.0,95.,1.,5.914746732517783
86.27,-57.82,0.5,64,79,22,-81,-70.0,88.,-49.,5.911463032050031
-37.62,-7.39,0.5,80,33,-69,24,-71.0,-52.,-12.,5.910331825912387
58.64,-24.22,0.7,79,45,52,19,69.0,106.,22.,5.903852473173266
-15.54,81.16,0.9,64,0,7,86,-66.0,-30.,86.,5.897892066128866
32.25,46.01,0.4,80,15,26,37,-83.0,73.,81.,5.89574487705241
-5.62,-27.37,0.5,64,63,73,22,-71.0,-2.,24.,5.895497151692692
161.77,-13.88,0.6,79,63,88,-34,85.0,94.,2.,5.890704918495402
73.08,-15.52,0.9,48,32,88,-6,24.0,92.,-2.,5.886435357193973
-11.11,-84.83,0.4,79,63,71,-22,-24.0,-14.,-83.,5.885263528796472
30.22,-31.16,0.8,63,1,22,24,56.0,42.,16.,5.880560299755925
-38.14,-56.8,0.9,48,47,-8,-21,-9.0,-46.,-65.,5.874275565943389
27.09,-65.25,0.8,32,63,72,-39,-68.0,20.,-77.,5.8683609048284255
-17.57,-58.27,0.5,80,79,-74,-73,-37.0,-25.,-75.,5.86508922654942
9.74,37.39,0.1,80,14,57,-53,54.0,16.,49.,5.861462797514128
1.66,18.06,0.8,63,1,22,24,56.0,-10.,19.,5.860742279845302
66.28,-44.44,0.9,64,0,76,52,-24.0,85.,-31.,5.854926512903278
28.98,-36.07,0.7,48,47,72,11,8.0,43.,-22.,5.85373757812883
3.26,69.87,0.6,79,64,23,39,-54.0,23.,84.,5.8408910940440055
11.03,86.68,0.7,64,79,-40,68,39.0,23.,96.,5.840842733239289
33.77,24.37,0.6,48,80,9,-52,-51.0,46.,23.,5.84060983773283
-2.43,64.6,0.9,64,78,-55,66,-52.0,-9.,64.,5.839084009458237
96.16,5.24,0.9,63,79,57,-8,-40.0,86.,-16.,5.831788911523741
-19.03,-97.29,0.6,32,64,-10,-39,-54.0,-21.,-87.,5.830215785525385
-29.94,-60.86,0.1,0,32,-86,-36,-69.0,-26.,-80.,5.809807102207229
