['12:03:12.956', '[-3. -4.]']
['12:03:12.981', '[-3. -4.]']
['12:03:13.002', '[-3. -4.]']
['12:03:13.025', '[-3. -4.]']
['12:03:13.048', '[-3. -4.]']
['12:03:13.074', '[-3. -4.]']
['12:03:13.092', '[-3. -4.]']
['12:03:13.108', '[-3. -4.]']
['12:03:13.136', '[-3. -4.]']
['12:03:13.163', '[-3. -4.]']
['12:03:13.187', '[-3. -4.]']
['12:03:13.208', '[-3. -4.]']
['12:03:13.234', '[-3. -4.]']
['12:03:13.263', '[-3. -4.]']
['12:03:13.284', '[-3. -4.]']
['12:03:13.309', '[-3. -4.]']
['12:03:13.339', '[-3. -4.]']
['12:03:13.362', '[-3. -4.]']
['12:03:13.389', '[-3. -4.]']
['12:03:13.418', '[-3. -4.]']
['12:03:13.450', '[-3. -4.]']
['12:03:13.506', '[-3. -4.]']
['12:03:13.551', '[-3. -4.]']
['12:03:13.572', '[-3. -4.]']
['12:03:13.605', '[-3. -4.]']
['12:03:13.632', '[-3. -4.]']
['12:03:13.662', '[-3. -4.]']
['12:03:13.684', '[-3. -4.]']
['12:03:13.738', '[-3. -4.]']
['12:03:13.770', '[-3. -4.]']
['12:03:13.800', '[-3. -4.]']
['12:03:13.822', '[-3. -4.]']
['12:03:13.844', '[-3. -4.]']
['12:03:13.869', '[-3. -4.]']
['12:03:13.895', '[-3. -4.]']
['12:03:13.922', '[-3. -4.]']
['12:03:13.951', '[-3. -4.]']
['12:03:13.981', '[-3. -4.]']
['12:03:14.004', '[-3. -4.]']
['12:03:14.029', '[-3. -4.]']
['12:03:14.052', '[-3. -4.]']
['12:03:14.077', '[-3. -4.]']
['12:03:14.114', '[-3. -4.]']
['12:03:14.156', '[-3. -4.]']
['12:03:14.183', '[-3. -4.]']
['12:03:14.209', '[-3. -4.]']
['12:03:14.235', '[-3. -4.]']
['12:03:14.265', '[-3. -4.]']
['12:03:14.294', '[-3. -4.]']
['12:03:14.316', '[-3. -4.]']
['12:03:14.347', '[-3. -4.]']
['12:03:14.393', '[-3. -4.]']
['12:03:14.433', '[-3. -4.]']
['12:03:14.468', '[-3. -4.]']
['12:03:14.497', '[-3. -4.]']
